name,width,height,obj,xmin,ymin,xmax,ymax
2019-09-08_15_02_18_500622.png,640,480,Obj,32,461,54,480
2019-09-08_15_02_18_525341.png,640,480,Obj,41,452,68,480
2019-09-08_15_02_18_550604.png,640,480,Obj,46,445,73,480
2019-09-08_15_02_18_572479.png,640,480,Obj,44,413,88,480
2019-09-08_15_02_18_596671.png,640,480,Obj,20,383,68,473
2019-09-08_15_02_18_629223.png,640,480,Obj,0,361,38,458
2019-09-08_15_02_18_653578.png,640,480,Obj,0,351,47,447
2019-09-08_15_02_18_675558.png,640,480,Obj,10,344,65,440
2019-09-08_15_02_18_698592.png,640,480,Obj,20,333,74,432
2019-09-08_15_02_18_727226.png,640,480,Obj,23,317,76,418
2019-09-08_15_02_18_751764.png,640,480,Obj,26,295,79,398
2019-09-08_15_02_18_787878.png,640,480,Obj,38,286,94,388
2019-09-08_15_02_18_822386.png,640,480,Obj,60,281,119,382
2019-09-08_15_02_18_865726.png,640,480,Obj,83,267,137,373
2019-09-08_15_02_18_889673.png,640,480,Obj,92,238,144,347
2019-09-08_15_02_18_911421.png,640,480,Obj,90,216,143,328
2019-09-08_15_02_18_950426.png,640,480,Obj,77,209,132,322
2019-09-08_15_02_18_972456.png,640,480,Obj,65,198,121,315
2019-09-08_15_02_19_002547.png,640,480,Obj,56,196,112,313
2019-09-08_15_02_19_032964.png,640,480,Obj,52,204,111,321
2019-09-08_15_02_19_058076.png,640,480,Obj,60,210,116,326
2019-09-08_15_02_19_087615.png,640,480,Obj,70,218,127,329
2019-09-08_15_02_19_113145.png,640,480,Obj,79,223,132,333
2019-09-08_15_02_19_135800.png,640,480,Obj,86,244,137,352
2019-09-08_15_02_19_159240.png,640,480,Obj,96,272,147,375
2019-09-08_15_02_19_196890.png,640,480,Obj,100,286,153,384
2019-09-08_15_02_19_223358.png,640,480,Obj,91,284,144,379
2019-09-08_15_02_19_248451.png,640,480,Obj,83,282,137,377
2019-09-08_15_02_19_282007.png,640,480,Obj,73,291,120,376
2019-09-08_15_02_19_305696.png,640,480,Obj,50,321,80,372
2019-09-08_15_02_19_316463.png,640,480,Obj,30,281,46,296
2019-09-08_15_02_19_348873.png,640,480,Obj,9,270,63,370
2019-09-08_15_02_19_373200.png,640,480,Obj,0,291,52,392
